long,lat,bio_1,bio_12
-76.51440993,-6.934416786,257,1063
-76.47274327,-6.934416786,253,1208
-76.3060766,-6.934416786,259,1133
-76.26440993,-6.934416786,253,1326
-76.01440993,-6.934416786,216,1690
-75.97274327,-6.934416786,215,1745
-75.8060766,-6.934416786,223,1931
-75.72274327,-6.934416786,239,1867
-75.51440994,-6.934416786,241,1947
-75.47274327,-6.934416786,245,2108
-75.38940994,-6.934416786,245,2056
-75.26440994,-6.934416786,255,1877
-77.63940993,-6.976083452,135,1151
-77.38940993,-6.976083452,166,1323
-77.09774326,-6.976083452,228,1124
-77.01440993,-6.976083452,217,1112
-76.97274326,-6.976083452,204,1632
-76.5560766,-6.976083452,257,1413
-76.51440993,-6.976083452,260,1150
-76.38940993,-6.976083452,255,1340
-76.3060766,-6.976083452,255,1342
-76.13940993,-6.976083452,236,1306
-75.6810766,-6.976083452,231,1674
-75.63940994,-6.976083452,211,1986
-75.59774327,-6.976083452,220,2076
-75.09774327,-6.976083452,256,1810
-77.72274326,-7.017750119,83,1373
-77.68107659,-7.017750119,101,1431
-77.55607659,-7.017750119,124,1357
-77.38940993,-7.017750119,146,1488
-77.26440993,-7.017750119,197,1325
-77.13940993,-7.017750119,232,1005
-77.01440993,-7.017750119,228,1063
-76.88940993,-7.017750119,239,1336
-76.09774327,-7.017750119,242,1262
-76.01440993,-7.017750119,212,1895
-75.8060766,-7.017750119,245,1489
-75.76440993,-7.017750119,236,1700
-75.59774327,-7.017750119,231,1832
-75.5560766,-7.017750119,244,1741
-75.51440994,-7.017750119,251,1584
-75.26440994,-7.017750119,256,1758
-75.13940994,-7.017750119,258,1763
-75.09774327,-7.017750119,256,1703
-75.0560766,-7.017750119,248,2158
-77.72274326,-7.059416785,78,1308
-77.63940993,-7.059416785,80,1396
-77.51440993,-7.059416785,92,1487
-77.43107659,-7.059416785,118,1611
-77.34774326,-7.059416785,166,1413
-76.47274327,-7.059416785,261,1218
-76.4310766,-7.059416785,258,1263
-76.38940993,-7.059416785,251,1417
-76.34774327,-7.059416785,250,1467
-76.3060766,-7.059416785,250,1442
-76.09774327,-7.059416785,238,1574
-75.9310766,-7.059416785,249,1464
